orderNumber,orderDate,requiredDate,shippedDate,status,comments,customerNumber
10423,2023-04-28,2023-05-17,2023-05-06,Shipped,Fragile items — handle with care.,20757
10424,2025-04-02,2025-04-25,2025-04-06,Disputed,Gift wrapping requested.,21208
10425,2024-01-16,2024-02-11,,In Process,,20490
10426,2022-02-07,2022-02-21,2022-02-10,Resolved,Replacement for damaged order.,23105
10427,2025-08-19,2025-09-15,2025-08-21,Shipped,,20231
10428,2024-02-22,2024-03-02,2024-03-01,Shipped,Call before delivery.,20288
10429,2023-12-20,2024-01-08,2023-12-23,Resolved,Check stock before processing.,24647
10430,2024-02-07,2024-02-23,2024-02-11,Disputed,Replacement for damaged order.,23706
10431,2026-06-23,2026-07-21,2026-07-01,Shipped,Hold for customer confirmation.,22280
10432,2023-04-26,2023-05-15,2023-05-06,Shipped,Gift wrapping requested.,21158
10433,2022-09-10,2022-09-20,2022-09-15,Shipped,Verified credit before processing.,23284
10434,2026-01-03,2026-01-16,,In Process,Backorder — ship when available.,23984
10435,2025-08-07,2025-09-03,2025-08-10,Shipped,,22648
10436,2022-02-04,2022-02-11,,On Hold,Gift wrapping requested.,24484
10437,2025-10-16,2025-11-13,,On Hold,Hold for customer confirmation.,23273
10438,2022-01-11,2022-02-05,2022-01-20,Shipped,,20752
10439,2026-06-05,2026-07-04,2026-06-06,Shipped,,24503
10440,2022-08-09,2022-08-21,2022-08-12,Disputed,,23256
10441,2022-03-19,2022-03-29,,In Process,Priority customer — rush order.,23417
10442,2026-06-14,2026-07-03,2026-06-21,Shipped,Fragile items — handle with care.,20022
10443,2026-06-01,2026-06-18,2026-06-11,Shipped,Verified credit before processing.,20085
10444,2022-01-18,2022-02-04,,In Process,Hold for customer confirmation.,24326
10445,2023-06-20,2023-07-06,2023-06-22,Shipped,Customer requested expedited shipping.,23914
10446,2025-06-22,2025-07-20,,On Hold,,23391
10447,2026-07-11,2026-07-28,2026-07-20,Shipped,Fragile items — handle with care.,21207
10448,2022-09-28,2022-10-06,2022-10-08,Shipped,,21452
10449,2026-04-07,2026-04-30,2026-04-17,Shipped,Verified credit before processing.,22294
10450,2025-02-20,2025-03-16,2025-03-02,Shipped,,24276
10451,2024-01-27,2024-02-20,2024-02-06,Shipped,,20021
10452,2022-02-16,2022-02-23,2022-02-22,Shipped,,21866
10453,2022-11-12,2022-12-05,,On Hold,Customer requested expedited shipping.,23627
10454,2024-06-25,2024-07-09,2024-06-29,Shipped,Fragile items — handle with care.,24505
10455,2023-05-09,2023-06-08,2023-05-19,Shipped,Verified credit before processing.,23434
10456,2026-05-28,2026-06-22,2026-06-07,Shipped,Backorder — ship when available.,24451
10457,2023-06-01,2023-06-20,,In Process,Replacement for damaged order.,23882
10458,2026-05-25,2026-06-06,,Cancelled,,24828
